id,name,location_id,person_id,workspace_id,license_id,virtual_line_id,group_id,source_method,raw_keys,raw_json
,AA-LAB-5102-1770579732,Y2lzY29zcGFyazovL3VzL0xPQ0FUSU9OLzRmZmQ4YmYzLWRlMzEtNDQxMi04ZGRhLWI0NDI0YjExOWI0OA,,,,,,telephony.auto_attendant.list,"auto_attendant_id,esn,extension,location_id,location_name,name,toll_free_number","{""auto_attendant_id"": ""Y2lzY29zcGFyazovL3VzL0FVVE9fQVRURU5EQU5ULzI1OWJkNjQ3LWI1ZDAtNDU5Ny1iYjM5LWEyM2FiZTYyNzU5ZA"", ""esn"": ""5102"", ""extension"": ""5102"", ""location_id"": ""Y2lzY29zcGFyazovL3VzL0xPQ0FUSU9OLzRmZmQ4YmYzLWRlMzEtNDQxMi04ZGRhLWI0NDI0YjExOWI0OA"", ""location_name"": ""Site1"", ""name"": ""AA-LAB-5102-1770579732"", ""toll_free_number"": false}"
,AA-LAB-MADRID,Y2lzY29zcGFyazovL3VzL0xPQ0FUSU9OLzRmZmQ4YmYzLWRlMzEtNDQxMi04ZGRhLWI0NDI0YjExOWI0OA,,,,,,telephony.auto_attendant.list,"auto_attendant_id,esn,extension,location_id,location_name,name,toll_free_number","{""auto_attendant_id"": ""Y2lzY29zcGFyazovL3VzL0FVVE9fQVRURU5EQU5UL2ZlMTg1ZjlkLTVmNTYtNDU3Yi04NDQzLWNhNTMxMDZjMWEyZg"", ""esn"": ""5291"", ""extension"": ""5291"", ""location_id"": ""Y2lzY29zcGFyazovL3VzL0xPQ0FUSU9OLzRmZmQ4YmYzLWRlMzEtNDQxMi04ZGRhLWI0NDI0YjExOWI0OA"", ""location_name"": ""Site1"", ""name"": ""AA-LAB-MADRID"", ""toll_free_number"": false}"
,AA-LAB-REAL-1,Y2lzY29zcGFyazovL3VzL0xPQ0FUSU9OLzRmZmQ4YmYzLWRlMzEtNDQxMi04ZGRhLWI0NDI0YjExOWI0OA,,,,,,telephony.auto_attendant.list,"auto_attendant_id,esn,extension,location_id,location_name,name,toll_free_number","{""auto_attendant_id"": ""Y2lzY29zcGFyazovL3VzL0FVVE9fQVRURU5EQU5ULzU0NDk2M2NmLTI3MjctNDQ0ZC04YzdiLWNhNGE3M2RkNTUyZg"", ""esn"": ""6295"", ""extension"": ""6295"", ""location_id"": ""Y2lzY29zcGFyazovL3VzL0xPQ0FUSU9OLzRmZmQ4YmYzLWRlMzEtNDQxMi04ZGRhLWI0NDI0YjExOWI0OA"", ""location_name"": ""Site1"", ""name"": ""AA-LAB-REAL-1"", ""toll_free_number"": false}"
,AA-LAB-REAL-2,Y2lzY29zcGFyazovL3VzL0xPQ0FUSU9OLzRmZmQ4YmYzLWRlMzEtNDQxMi04ZGRhLWI0NDI0YjExOWI0OA,,,,,,telephony.auto_attendant.list,"auto_attendant_id,esn,extension,location_id,location_name,name,toll_free_number","{""auto_attendant_id"": ""Y2lzY29zcGFyazovL3VzL0FVVE9fQVRURU5EQU5ULzYwZDBlYzQ2LTBmNmQtNDNiNi1iMWRlLWRmMWI2NmM4NGRkOQ"", ""esn"": ""6297"", ""extension"": ""6297"", ""location_id"": ""Y2lzY29zcGFyazovL3VzL0xPQ0FUSU9OLzRmZmQ4YmYzLWRlMzEtNDQxMi04ZGRhLWI0NDI0YjExOWI0OA"", ""location_name"": ""Site1"", ""name"": ""AA-LAB-REAL-2"", ""toll_free_number"": false}"
,AA-LAB-RUN-1770579826,Y2lzY29zcGFyazovL3VzL0xPQ0FUSU9OLzRmZmQ4YmYzLWRlMzEtNDQxMi04ZGRhLWI0NDI0YjExOWI0OA,,,,,,telephony.auto_attendant.list,"auto_attendant_id,esn,extension,location_id,location_name,name,toll_free_number","{""auto_attendant_id"": ""Y2lzY29zcGFyazovL3VzL0FVVE9fQVRURU5EQU5UL2RiMTViNGU4LTExM2UtNDkxYy1iZjgyLTZkZTM2MjAzMTRmMw"", ""esn"": ""5100"", ""extension"": ""5100"", ""location_id"": ""Y2lzY29zcGFyazovL3VzL0xPQ0FUSU9OLzRmZmQ4YmYzLWRlMzEtNDQxMi04ZGRhLWI0NDI0YjExOWI0OA"", ""location_name"": ""Site1"", ""name"": ""AA-LAB-RUN-1770579826"", ""toll_free_number"": false}"
