entity_id,entity_type,license_id,license_name,is_pstn
Y2lzY29zcGFyazovL3VzL1BFT1BMRS8zYmJhNTYxNi1hMjlhLTRmNjktOTBjNy0zMDcyMTM2NjA3ZDA,user,Y2lzY29zcGFyazovL3VzL0xJQ0VOU0UvZTVmN2Q5NzMtYjI2OS00Njg2LTk5N2UtNDUxMTkxNjhjZWQyOkZNU185ZWNhNzgxNC0zMzEzLTQ2NGYtOTY0Mi0wMjM5ODc1YmM5Zjg,Basic Messaging,False
Y2lzY29zcGFyazovL3VzL1BFT1BMRS9mYzNiZGJmZi0wM2YxLTQzMTctOGU5My02OGVjN2NmNGJlMjk,user,Y2lzY29zcGFyazovL3VzL0xJQ0VOU0UvZTVmN2Q5NzMtYjI2OS00Njg2LTk5N2UtNDUxMTkxNjhjZWQyOkZNU185ZWNhNzgxNC0zMzEzLTQ2NGYtOTY0Mi0wMjM5ODc1YmM5Zjg,Basic Messaging,False
Y2lzY29zcGFyazovL3VzL1BFT1BMRS81MjYxMWNkMS1jMTJmLTQxNjgtODc1My04MDdmODJiOTYwNGQ,user,Y2lzY29zcGFyazovL3VzL0xJQ0VOU0UvZTVmN2Q5NzMtYjI2OS00Njg2LTk5N2UtNDUxMTkxNjhjZWQyOkZNU185ZWNhNzgxNC0zMzEzLTQ2NGYtOTY0Mi0wMjM5ODc1YmM5Zjg,Basic Messaging,False
Y2lzY29zcGFyazovL3VzL1BFT1BMRS84ZDg3OGMxMS1kMGUzLTRiZjAtOGNkYy0zYjIwNDlkYjBkNzE,user,Y2lzY29zcGFyazovL3VzL0xJQ0VOU0UvZTVmN2Q5NzMtYjI2OS00Njg2LTk5N2UtNDUxMTkxNjhjZWQyOkZNU185ZWNhNzgxNC0zMzEzLTQ2NGYtOTY0Mi0wMjM5ODc1YmM5Zjg,Basic Messaging,False
Y2lzY29zcGFyazovL3VzL1BFT1BMRS8yNDBkMjVhNS1jMzBlLTQxODYtYjM4Mi03M2VlN2ZlMDJhNWI,user,Y2lzY29zcGFyazovL3VzL0xJQ0VOU0UvZTVmN2Q5NzMtYjI2OS00Njg2LTk5N2UtNDUxMTkxNjhjZWQyOkZNU185ZWNhNzgxNC0zMzEzLTQ2NGYtOTY0Mi0wMjM5ODc1YmM5Zjg,Basic Messaging,False
Y2lzY29zcGFyazovL3VzL1BFT1BMRS9hMmVmODZiMy0wMzk2LTQ1ZTUtOTg3Mi1jMTYwMGEyNzU0OGY,user,Y2lzY29zcGFyazovL3VzL0xJQ0VOU0UvZTVmN2Q5NzMtYjI2OS00Njg2LTk5N2UtNDUxMTkxNjhjZWQyOkZNU185ZWNhNzgxNC0zMzEzLTQ2NGYtOTY0Mi0wMjM5ODc1YmM5Zjg,Basic Messaging,False
Y2lzY29zcGFyazovL3VzL1BFT1BMRS84MzMzOWEzOS1kMmUxLTQ4NDUtOGFjZC0zY2ZkNzhkOWM1MWM,user,Y2lzY29zcGFyazovL3VzL0xJQ0VOU0UvZTVmN2Q5NzMtYjI2OS00Njg2LTk5N2UtNDUxMTkxNjhjZWQyOkZNU185ZWNhNzgxNC0zMzEzLTQ2NGYtOTY0Mi0wMjM5ODc1YmM5Zjg,Basic Messaging,False
Y2lzY29zcGFyazovL3VzL1BFT1BMRS85ZmY0MzRjNC01NDkzLTRmNWEtYThhNC1lZjc1YmE5Mjc4Nzg,user,Y2lzY29zcGFyazovL3VzL0xJQ0VOU0UvZTVmN2Q5NzMtYjI2OS00Njg2LTk5N2UtNDUxMTkxNjhjZWQyOkZNU185ZWNhNzgxNC0zMzEzLTQ2NGYtOTY0Mi0wMjM5ODc1YmM5Zjg,Basic Messaging,False
Y2lzY29zcGFyazovL3VzL1BFT1BMRS84MmU4MzRiOS0wZWFlLTQyM2MtOWJkMC03ODIwOWIxMDNhYjg,user,Y2lzY29zcGFyazovL3VzL0xJQ0VOU0UvZTVmN2Q5NzMtYjI2OS00Njg2LTk5N2UtNDUxMTkxNjhjZWQyOkZNU185ZWNhNzgxNC0zMzEzLTQ2NGYtOTY0Mi0wMjM5ODc1YmM5Zjg,Basic Messaging,False
Y2lzY29zcGFyazovL3VzL1BFT1BMRS84NWJmNTBmOC03Mjc4LTRkNTMtOWQ1ZS1jOTc3ZjU2MWNhMjA,user,Y2lzY29zcGFyazovL3VzL0xJQ0VOU0UvZTVmN2Q5NzMtYjI2OS00Njg2LTk5N2UtNDUxMTkxNjhjZWQyOkZNU185ZWNhNzgxNC0zMzEzLTQ2NGYtOTY0Mi0wMjM5ODc1YmM5Zjg,Basic Messaging,False
Y2lzY29zcGFyazovL3VzL1BFT1BMRS9mMWMxMjE4My02MjZmLTRjNDItOTBjYi01ZTliNGJkMjlkZWQ,user,Y2lzY29zcGFyazovL3VzL0xJQ0VOU0UvZTVmN2Q5NzMtYjI2OS00Njg2LTk5N2UtNDUxMTkxNjhjZWQyOkZNU185ZWNhNzgxNC0zMzEzLTQ2NGYtOTY0Mi0wMjM5ODc1YmM5Zjg,Basic Messaging,False
Y2lzY29zcGFyazovL3VzL1BFT1BMRS8wZDg4NjgxNC1lMjFhLTQ5NjUtYjRkYi1lN2EzMmRkMjVlNzE,user,Y2lzY29zcGFyazovL3VzL0xJQ0VOU0UvZTVmN2Q5NzMtYjI2OS00Njg2LTk5N2UtNDUxMTkxNjhjZWQyOkZNU185ZWNhNzgxNC0zMzEzLTQ2NGYtOTY0Mi0wMjM5ODc1YmM5Zjg,Basic Messaging,False
Y2lzY29zcGFyazovL3VzL1BFT1BMRS9lNTAwNmQ5OS1jNjhiLTQ2YWMtYWVjMi0yMTUyOTNlMDhjYTY,user,Y2lzY29zcGFyazovL3VzL0xJQ0VOU0UvZTVmN2Q5NzMtYjI2OS00Njg2LTk5N2UtNDUxMTkxNjhjZWQyOkZNU185ZWNhNzgxNC0zMzEzLTQ2NGYtOTY0Mi0wMjM5ODc1YmM5Zjg,Basic Messaging,False
Y2lzY29zcGFyazovL3VzL1BFT1BMRS9mMThjZjJmNy1hNzgwLTQwZTctYTEwNi1lODVkYTAwNDljZDU,user,Y2lzY29zcGFyazovL3VzL0xJQ0VOU0UvZTVmN2Q5NzMtYjI2OS00Njg2LTk5N2UtNDUxMTkxNjhjZWQyOkZNU185ZWNhNzgxNC0zMzEzLTQ2NGYtOTY0Mi0wMjM5ODc1YmM5Zjg,Basic Messaging,False
Y2lzY29zcGFyazovL3VzL1BFT1BMRS80MmM5NDc1ZS1mZTc4LTRkYjctOTAzMi0zYWMyYTM1ZTM1Yzc,user,Y2lzY29zcGFyazovL3VzL0xJQ0VOU0UvZTVmN2Q5NzMtYjI2OS00Njg2LTk5N2UtNDUxMTkxNjhjZWQyOkZNU185ZWNhNzgxNC0zMzEzLTQ2NGYtOTY0Mi0wMjM5ODc1YmM5Zjg,Basic Messaging,False
